video_id,title,channel_title,alert_type,alert_priority,alert_reason,alert_score,ravs_score,ravs_speed_of_engagement,ravs_regulatory_relevance,ravs_safety_implications,ravs_influencer_reach,ravs_topic_sensitivity,viral_probability,trend_score,growth_acceleration,sentiment_label,emotion_label,toxicity_label,toxicity_score,pharma_risk_score,narrative_cluster_id,dominant_topic_id,topic_keywords,cluster_volume,narrative_trend_score,view_count,like_count,comment_count,subscriber_count,tracking_timestamp
ypcQ5oPB6W0,How caffeine REALLY affects the brain,Doctor Myro,viral_emerging,high,High virality probability detected,21.018339883278248,0.3161,99,74,20,35,100,0.9916,103.59769941639124,0.0,neutral,joy,non_toxic,0.0066,0,9,4,"finasteride, video, medical, wegovy, glp, health, ozempic, weight, hair, loss",1883,1095.072408074091,200851.0,11234.0,486.0,0,2026-05-18 09:30:53.077934+00:00
ypcQ5oPB6W0,How caffeine REALLY affects the brain,Doctor Myro,emerging_narrative,medium,Narrative cluster accelerating rapidly,21.018339883278248,0.3161,99,74,20,35,100,0.9916,103.59769941639124,0.0,neutral,joy,non_toxic,0.0066,0,9,4,"finasteride, video, medical, wegovy, glp, health, ozempic, weight, hair, loss",1883,1095.072408074091,200851.0,11234.0,486.0,0,2026-05-18 16:08:17.805041+00:00
43c3bynpYdQ,"Hantavirus : ""Une mortalité de 35 à 40 %, et aucun vaccin disponible""｜TF1 INFO",TF1 INFO,growth_spike,medium,Rapid growth acceleration detected,20.072440216391225,0.3151,99,74,20,35,100,0.9949,98.86915108195612,0.0,negative,neutral,non_toxic,0.0007,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,756.6681985704553,119446.0,910.0,364.0,0,2026-05-18 09:30:53.077934+00:00
43c3bynpYdQ,"Hantavirus : ""Une mortalité de 35 à 40 %, et aucun vaccin disponible""｜TF1 INFO",TF1 INFO,viral_emerging,high,High virality probability detected,20.072440216391225,0.3151,99,74,20,35,100,0.9949,98.86915108195612,0.0,negative,neutral,non_toxic,0.0007,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,756.6681985704553,119446.0,910.0,364.0,0,2026-05-18 16:08:17.805041+00:00
43c3bynpYdQ,"Hantavirus : ""Une mortalité de 35 à 40 %, et aucun vaccin disponible""｜TF1 INFO",TF1 INFO,emerging_narrative,medium,Narrative cluster accelerating rapidly,20.072440216391225,0.3151,99,74,20,35,100,0.9949,98.86915108195612,0.0,negative,neutral,non_toxic,0.0007,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,756.6681985704553,119446.0,910.0,364.0,0,2026-05-18 09:30:53.077934+00:00
ckOMGAqOqws,Shrithi kutty ku 3.5month vaccine potachu❤️🥺#newborn#vaccine#priyagugan#government#injection,Priyagugan♥️,viral_emerging,high,High virality probability detected,18.238248185414072,0.315,99,74,20,35,100,0.9975,89.69119092707035,0.0,positive,neutral,non_toxic,0.0038,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,726.3809300593322,138247.0,2974.0,90.0,0,2026-05-18 09:30:53.077934+00:00
ckOMGAqOqws,Shrithi kutty ku 3.5month vaccine potachu❤️🥺#newborn#vaccine#priyagugan#government#injection,Priyagugan♥️,growth_spike,medium,Rapid growth acceleration detected,18.238248185414072,0.315,99,74,20,35,100,0.9975,89.69119092707035,0.0,positive,neutral,non_toxic,0.0038,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,726.3809300593322,138247.0,2974.0,90.0,0,2026-05-18 09:30:53.077934+00:00
ZRZdBXeTO34,Biopharma SHAKTI Mission,GYRUS SULCUS,emerging_narrative,medium,Narrative cluster accelerating rapidly,16.811746516722774,0.3142,99,74,20,35,100,0.9978,82.55633258361387,0.0,neutral,neutral,non_toxic,0.0057,0,3,0,"pharmaceutical, pharma, 2026, eli, biopharma, squibb, myers, bristol, biosimilars, lilly",1800,992.4358975259256,3520120.0,98893.0,61.0,0,2026-05-18 09:30:53.077934+00:00
ZRZdBXeTO34,Biopharma SHAKTI Mission,GYRUS SULCUS,growth_spike,medium,Rapid growth acceleration detected,16.811746516722774,0.3142,99,74,20,35,100,0.9978,82.55633258361387,0.0,neutral,neutral,non_toxic,0.0057,0,3,0,"pharmaceutical, pharma, 2026, eli, biopharma, squibb, myers, bristol, biosimilars, lilly",1800,992.4358975259256,3520120.0,98893.0,61.0,0,2026-05-18 16:08:17.805041+00:00
ZRZdBXeTO34,Biopharma SHAKTI Mission,GYRUS SULCUS,viral_emerging,high,High virality probability detected,16.811746516722774,0.3142,99,74,20,35,100,0.9978,82.55633258361387,0.0,neutral,neutral,non_toxic,0.0057,0,3,0,"pharmaceutical, pharma, 2026, eli, biopharma, squibb, myers, bristol, biosimilars, lilly",1800,992.4358975259256,3520120.0,98893.0,61.0,0,2026-05-18 09:30:53.077934+00:00
XMup0awJOuw,Covid war ein Riesenexperiment!,{ungeskriptet} by Ben,viral_emerging,high,High virality probability detected,16.657753429360213,0.3131,99,74,20,35,100,0.9971,81.79121714680106,0.0,neutral,joy,non_toxic,0.0019,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,700.3110165844436,205360.0,9852.0,510.0,0,2026-05-18 09:30:53.077934+00:00
XMup0awJOuw,Covid war ein Riesenexperiment!,{ungeskriptet} by Ben,growth_spike,medium,Rapid growth acceleration detected,16.657753429360213,0.3131,99,74,20,35,100,0.9971,81.79121714680106,0.0,neutral,joy,non_toxic,0.0019,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,700.3110165844436,205360.0,9852.0,510.0,0,2026-05-18 16:08:17.805041+00:00
